ཁོག་ལྡིར་,ཁོག་ལྟིར་
ཁོང་སེང་, ཁོང་གསེང་
ཁོན་,འཁོན་
ཁོན་པ་,འཁོན་པ་
ཁྱགས་,འཁྱགས་
ཁྱད་པར་ལ་ཀུན་བརྟགས་པའི་ཀུན་བརྟགས་,ཁྱད་པར་ལ་ཀུན་བཏགས་པའི་ཀུན་བཏགས་
ཁྱབ་བརྡལ་,ཁྱབ་གདལ་
ཁྱིད་,མཁྱིད་
ཁྱིམ་ཐབས་,ཁྱིམ་ཐབ་
ཁྱུག་པོ་,འཁྱོག་པོ་
ཁྱུད་ཁོར་,ཁྱུད་འཁོར་
ཁྲ་མེན་,ཕྲ་མེན་
ཁྲག་འཁྲུགས་,ཁྲག་འཁྲུག་
ཁྲང་,མཁྲང་
ཁྲི་གཉན་,ཁྲི་སྙན་
ཁྲི་གཉན་བཟུང་བཙན་,ཁྲི་གཉན་གཟུངས་བཙན་
ཁྲི་མོན་,ཁྲི་མུན་
ཁྲི་ཤིང་,འཁྲི་ཤིང་
ཁྲིལ་,འཁྲིལ་
ཁྲུ་སློག་པ་,ཕྲུ་སློག་པ་
ཁྲེལ་རྒོད་,ཁྲེལ་དགོད་
ཁྲོབས་,བྲོ་གར་རྩེས་པའི་དོན་གྱི་འཁྲབ་ཀྱི་སྐུལ་ཚིག་
ཁྲོམས་,འགྲེམ་གྱི་སྐུལ་ཚིག་
ཁྲོལ་ལོ་ལོ་,ཁྲོ་ལོ་ལོ་
ཁྱད་པར་རྩལ་འཕགས་ཀྱི་བྱུང་ཚུལ་,ཞེས་པ་
ཁྱད་པར་རྩལ་འཕགས་ཀྱི་བྱུང་ཚུལ་བཅུ་གཉིས་,ཞེས་པ་
ཁེངས་སྐྱུངས་,ཁེངས་སྐྱུང་
ཁ་ཆེ་ཨ་ནནྡ་,ཁ་ཆེ་ཨཱ་ནནྡ་
ཁ་ཏི་ཀ་,ཁ་ཏི་ཁ་བ་
ཁ་དོག་རྒྱལ་བོ་,ཁ་དོག་རྒྱལ་པོ་
ཁ་བའི་ཕྱེ་མ་,ག་པར་
ཁུག་སྟ་,ཁུག་རྟ་
ཁུམ་འཕྲིག་,ཁུ་འཕྲིག་
ཁོགས་,ཁོག་
ཁྲི་སྤྲུལ་བློ་བཟང་རྒྱལ་མཚན་སེངྒེ་,ཁྲི་སྤྲུལ་བློ་བཟང་རྒྱལ་མཚན་སེང་གེ་
ཁྲིམས་རྔའི་ཁང་བ་,ཁྲིམས་རྔའི་ཁང་པ་ཞེས་པ་
ཁྲོག་ཆུང་པ་,ཁྲོག་ཆུང་བ་
ཁུ་དབྱུག་,ཁུ་བྱུག་
ཁུ་འཁྲིག་,ཁུ་འཕྲིག་
ཁ་ཐུན་,ཁ་ཐོན་
ཁྲི་བ་,ཁྲི་པ་ཞེས་པ་
ཁ་ཐེག་,ཁག་ཐེག་
ཁ་མདོག་,ཁ་དོག་
ཁ་བྲ་,ཁ་བྲག་
ཁ་དབྲག་,ཁ་བྲག་
ཁན་ད་,ཁན་ཊ་ཞེས་པ་
ཁར་བ་,འཁར་བ་
ཁུ་འབངས་,ཁུ་འཕངས་
ཁུན་,འཁུན་
ཁུམས་,འཁུམས་
ཁོན་,འཁོན་
ཁྱགས་,འཁྱགས་
ཁྱིད་,མཁྱིད་
ཁྱོག་པོ་,འཁྱོག་པོ་
ཁྲང་,མཁྲང་
ཁྲིལ་,འཁྲིལ་
ག་གེ་བ་,ག་གེ་མོ་
ག་ན་བ་,ག་ལ་བ་
ག་པུར་,ག་བུར་
ག་གཞའ་,ག་ཞ་
ག་འུ་,རྒ་བུ་
གད་ཁ་,གད་ཀ་
གད་བརྒྱངས་,གད་རྒྱངས་
གན་ཀྱལ་,གན་རྐྱལ་
གབ་རྩེ་,གབ་རྩེ་
གབ་ཚེ་,གབ་ཙེ་
གར་བ་,གར་པོ་
གར་མོ་,གར་པོ་
གི་ལིང་,གྱི་ལིང་
གི་ཧང་,གི་ཝང་
གུ་གུ་,གི་གུ་
གུ་དུང་,གུ་ཐུང་
གུ་ཡངས་པ་,གུ་ཡངས་པོ་
གུང་གསེང་,གུང་སེང་
གུང་བསང་,གུང་སེང་
གུར་ཀུམ་,གུར་གུམ་
གུར་ཁང་,དབྱིབས་གུར་
གེག་པ་,གཉན་ནད་དུ་གོ་བའི་གག་པ་
གོ་གྲས་,གོ་གྲལ་
གོད་ཁ་,གོད་ཀ་
གོད་མ་,གྱོན་པ་
གོའུཏམ་,གོཨོཏམ་
གོར་,༡༽གོར་ནད་
གོས་འདང་,གོས་ལྡེང་
གཱ་ཤཱ་,གཱ་ཞུར་
གྱ་གྱུར་འགྲོ་,གྱ་གྱུ་འགྲོས་
གྱ་མ་གྱུ་,གྱ་ཚོམ་
གྱིང་,གིང་
གྱིང་ཤང་ཀོང་ཇོ་,གྱིམ་ཤིང་ཀོང་ཇོ་
གྱིམ་ཤང་ཀོང་ཇོ་,གྱིམ་ཤིང་ཀོང་ཇོ་
གྱོང་བ་,གྱོང་པོ་
གྱོན་འདང་,གྱོན་ལྡེང་
གྱོན་ལྡང་,གྱོན་ལྡེང་
གྲལ་མ་,དྲལ་མ་
གྲུང་བ་,གྲུང་པོ་
གྲུས་མ་,དྲུས་མ་
གྲེ་བསལ་,གྲེ་གསང་
གྲོ་ཞིན་,གྲོ་བཞིན་
གྲོ་ཞུན་,གྲོ་བཞིན་
གྲོག་པོ་,གྲོག་མོ་
གྲོལ་མ་,འབུ་དམར་
གྲོས་བསྡུར་,གྲོས་སྡུར་
གླ་བུ་,གླ་པ་
གླང་ཐབས་,གླང་འཐབ་
གླིང་ཁ་,གླིང་ག་
གླེ་གདམས་པ་,སླེ་འདམས་པ་
གླེ་འདམ་ཅན་,སླེ་འདམ་ཅན་
གློ་སྐར་,གློ་དཀར་
གློ་ཕྲེང་,ལོང་ཕྲེང་
གྷི་ཝམ་,གི་ཝམ་
གཅིའུ་,གཅེའུ་
གཅོད་རྒྱ་,བཅད་རྒྱ་
གཅོད་མཚམས་,བཅད་མཚམས་
གཉན་པ་,གཉན་པོ་
གཉའ་རངས་པ་,གཉའ་རེངས་པ་
གཉིད་ལྗི་པོ་,གཉིད་ལྕི་པོ་
གཉེན་ཀ་,གཉེན་ཁ་
གཏན་གཏན་,བརྟན་བརྟན་
གཏར་ཀ་,གཏར་ཁ་
གཏུམ་པ་,གཏུམ་པོ་
གདན་ཆ་,གདན་ཆས་
གདན་ས་ཐེལ་,གདན་ས་མཐིལ་
གདམ་བྱའི་དབང་ཆ་,བདམ་བྱའི་དབང་ཆ་
གདུ་གུ་,གདུ་བུ་
གདུབ་སྐོར་,གདུབ་ཀོར་
གདོང་གྲོགས་,སྡོང་གྲོགས་
གནག་པོ་,གནག་པ་
གཙང་བ་,གཙང་མ་
གཙང་དམེ་,གཙང་རྨེ་
གཙུབ་སྟན་,གཙུབ་གཏན་
གཙུབ་གདན་,གཙུབ་གཏན་
གཙོར་འདོན་,གཙོ་འདོན་
གཞགས་པ་,བཞགས་པ་
གཞན་,གཞན་པ་
གཞན་མ་,གཞན་པ་
གཞབས་པ་,བཞགས་པ་
གཞི་དགོན་,གཞིས་དགོན་
གཞི་བྱེས་,གཞིས་བྱེས་
གཞུ་མོ་,གཞུ་
གཞུ་རྩ་,གཞུའི་དབྱིབས་
གཞུ་མ་,གཞུག་གི་
གཞུང་བྲིས་,གཞུང་རིས་
གཞོང་ཁུང་,གཞོང་པ་
གཟབ་བཤར་,གཟབ་གཤར་
གཟེགས་མ་,ཟེགས་མ་
གཟེབ་མ་,གཟེབ་སྣོད་
གཡང་སྒྲོམ་,གཡང་སྒམ་
གཡི་,གཟུགས་དབྱིབས་ཕལ་ཆེར་གཟིག་
གཡུང་པོ་,གཡུང་བ་
གཡུང་མ་,གཡུང་བ་
གཡུང་མོ་,གཡུང་བ་
གཡུང་ཟ་,མི་
གཤགས་,ཤགས་
གཤན་པ་,ཤན་པ་
གཤམ་ཐབས་,ཤམ་ཐབས་
གཤིན་རྫས་,གཤིན་ཟས་
གཤེན་རབས་,གཤེན་རབ་
གསགས་ཀ་,གསེག་ཀ་
གསའ་,གཡི་
གསར་བུ་བ་,གསར་བུ་
གསུམ་ག་,གསུམ་ཁ་
གསུས་པོ་,གསུས་པ་
གསེག་ཁ་,གསེག་ཀ་
གསེང་བར་,གསེང་དབར་
གསེང་ཡབ་,གསེང་གཡབ་
གསེར་མངལ་ཅན་,གཏམ་རྒྱུད་དུ་འཇིག་རྟེན་འདི་ཐོག་མར་ཆགས་དུས་གསེར་གྱི་སྒོ་ངའམ་གསེར་
གསོན་པོ་,སྲོག་དང་ལྡན་པའི་དོན་དུ་གོ་བའི་གསོན་པ་
གསོམ་སེང་ལྡེང་,སེང་ལྡེང་རིགས་གསུམ་གྱི་ནང་ཚན་མདོག་སྐྱ་ལ་གསོམ་
གཙོད་,ཕྱི་དབྱིབས་ར་
གཡག་,རྣམ་པ་གཡག་
གལ་,གནད་བསྡུས་སམ་ཕྱོགས་བསྡོམས་
གསོང་བོ་,སྲོང་བོ་
གུ་གུལ་,ཚི་བའི་ངོ་བོ་ཐང་ཤིང་གི་ཚི་བ་
གོ་ཡུ་,དེའི་དབྱིབས་ཧ་ལམ་ཛ་ཏི་
གོང་མོ་,ཧ་ལམ་གོང་མོ་
གྲུ་ག་,གྲུ་བཞི་བྲེ་
གླ་སྒང་,དབྱིབས་གྲོ་མའི་རྩ་བ་
ག་དག་,ག་ཐག་
གཅོད་པའི་འཁོར་ལོ་,རྡོ་སྒྱོགས་ཆེན་པོ་
གཅོད་པའི་འཁོར་ལོ་གཉིས་,རྡོ་སྒྱོགས་ཆེན་པོ་
གཉིད་ལྗིད་པོ་,གཉིད་ལྕི་པོ་
གཉིད་སད་,ལྷ་སྤྱི་
གཉུག་མ་དྲན་གསལ་གྱི་ཁྲིད་,ཞེས་པའི་བར་གཞན་རྣམས་
གཎ་གཡོག་,གན་གཡོག་
གཏན་གཏན་,བརྟན་བརྟན་
གདན་ཆ་,གདན་ཆས་
གདམས་ངག་,མན་ངག་
གདུ་གུ་,གདུ་བུ་
གནམ་ལྕགས་ཟིལ་བ་,དཔེ་གནམ་ལྕགས་
གནས་འབྱུང་བདུན་,དགེ་སློང་མ་
གནས་སྐབས་རྣམས་ཀྱི་དཔེ་,ཐིག་ལེ་རགས་པ་ནི་ཞོ་
གཞན་མ་,གཞན་པ་
གཞི་བྱེས་,གཞིས་བྱེས་
གཞོང་ཁུང་,གཞོང་པ་
གཟུགས་ན་སྤྱོད་པ་རྣམ་པ་གསུམ་,གཟུགས་མེད་པ་ན་སྤྱོད་པ་ཡང་དེ་
གཟུགས་མེད་རྣམ་ཐར་བཞི་,གཟུགས་མེད་སྙོམས་འཇུག་བཞི་
གཟུངས་སྔགས་པ་,མྱུ་གུའམ་སྣམ་བུ་
གཡུ་མདོག་,གཡུ་ཡི་ཁ་དོག་
གཡུང་ཟ་,མི་
གསུས་པོ་,གསུས་པ་
གི་ལིང་,གྱི་ལིང་
གོ་ཡོག་,གོ་གཡོག་
གོམས་པའི་ཉམས་,དཔེ་སྦལ་བ་མཆོང་བ་
གྭ་ཤྭ་,གྭ་ཞུར་
གྱོན་འདང་,གྱོན་ལྡང་
གྱོན་ལྡང་,གྱོན་ལྡེང་
གྲོ་ཞིན་,གྲོ་བཞིན་
གྲོང་གི་གཅན་གཟན་,བྱེད་ལས་གཅན་གཟན་
གནད་མེད་སྡུག་སྒུར་གྱི་གཟེབ་,རྒྱུས་མེད་ལམ་ཁ་བྲག་ཏུ་འཁྱམས་པ་
གཡེངས་བྱེད་ཆེན་པོ་,།ཆོས་རྣམས་ཡེ་ནས་རླུང་
གཡེང་བྱེད་ཆེན་པོ་,།ཆོས་རྣམས་ཡེ་ནས་རླུང་
གོལ་ས་གསུམ་,དུག་གསུམ་
གཤེད་དམར་ཆག་ལོ་ཙཱ་བའི་སྲོལ་,ལྷ་ལྔ་མ་གཡུང་ཕུག་པ་ནས་བརྒྱུད་པ་
གསང་དབང་གི་རྟོགས་པ་བཅུ་དྲུག་,དཔེ་ཞིང་ས་གཤིན་པོ་ལ་ས་བོན་བཏབ་པ་
གཏུམ་མོའི་རྣལ་འབྱོར་གྱི་སྔོན་འགྲོ་གནད་ལ་དབབ་པ་གསུམ་,སྐྱིལ་དཀྲུང་ངམ་ཙོག་པུ་གང་བདེར་བྱ་ཁང་པ་བརྩིགས་པའི་འགྲམ་
གཞན་གྱི་རྒྱུད་སྨིན་པར་བྱེད་པ་བསྡུ་བ་བཞི་,སྦྱིན་པ་ནི་སྔར་ཕར་ཕྱིན་གྱི་སྐབས་སུ་བཤད་པ་
གཞི་ཤེས་ཀྱི་རྣམ་པ་ཉེར་བདུན་,ཀུན་འབྱུང་དོན་དམ་པར་ནམ་མཁའ་
གྲུགས་པ་བཅིང་ཞིང་ཕུག་པའི་ཆུ་སེར་དྲང་,གཞན་ཆག་པ་འཆིང་བ་ནི་བཅིང་ལུགས་གཞན་མ་
གཟུང་ཡུལ་,འདིར་དོན་དེ་
ག་ཕུར་,ག་པུར་
གཅལད་,གཅལ་
གཉད་ནད་འབར་འབུར་,ངོ་བོ་གཉན་རིམས་སྤྱི་
གཉའ་བཟུང་རྒྱུད་མོ་,གཉའ་ཟུངས་རྒྱུད་མོ་
གཉིད་ལྗི་པོ་,གཉིད་ལྕི་པོ་
གཉུག་ལུས་,གཉུག་མའི་ལུས་
གཏད་པ་བཞི་,གཏད་ས་བཞི་
གཏའ་གཉིས་རི་བ་,གཏའ་ཉི་རི་
གཏར་ཀའ་,གཏར་ཀ་
གཏུ་ལུམ་པ་,གཏུ་ལུམ་
གཐང་བ་,གཐང་
གཐད་པ་,གཏད་
གཐོགས་པ་,གཐོགས་
གཉན་ནད་འབར་འབུར་,ངོ་བོ་གཉན་རིམས་སྤྱི་
གཙགས་བུ་ཆུ་གྲི་འདྲ་བ་,དབྱིབས་ཆུ་གྲིའམ་སྤུ་གྲི་
གཞུ་ཤུལ་བཏང་འདྲ་,གཞུ་ལ་བཤུལ་གཏོད་པ་
གྲང་ཆུ་མེ་ཏོག་མེད་ན་,སྤྱིར་གྲང་ཆུ་ལ་མེ་ཏོག་
གྲེས་མའི་གེ་སར་,།རྩ་བ་ཉེ་ཤིང་པ་
གྲིབ་འཕོག་པའི་གང་ཟག་,མེ་ལོང་གཡའ་དྭངས་པ་
གལ་,གནད་བསྡུས་སམ་ཕྱོགས་བསྡོམས་
གུ་གུལ་,ཚི་བའི་ངོ་བོ་ཐང་ཤིང་གི་ཚི་བ་
གོ་ཡུ་,དེའི་དབྱིབས་ཧ་ལམ་ཛ་ཏི་
གོང་མོ་,ཧ་ལམ་གོང་མོ་
གྲུ་ག་,གྲུ་བཞི་བྲེ་
གླ་སྒང་,དབྱིབས་གྲོ་མའི་རྩ་བ་
གཙོད་,ཕྱི་དབྱིབས་ར་
གཡག་,རྣམ་པ་གཡག་
གསོང་བོ་,སྲོང་བོ་
ག་གེ་བ་,ག་གེ་མོ་
ག་ན་བ་,ག་ལ་བ་
ག་པུར་,ག་བུར་
ག་གཞའ་,ག་ཞ་
ག་འུ་,རྒ་བུ་
གད་ཁ་,གད་ཀ་
གད་བརྒྱངས་,གད་རྒྱངས་
གན་ཀྱལ་,གན་རྐྱལ་
གཎ་གཡོག་,གན་གཡོག་
གབ་རྩེ་,གབ་ཙེ་
གབ་ཚེ་,གབ་ཙེ་
གར་བ་,གར་པོ་
གར་མོ་,གར་པོ་
གི་ལིང་,གྱི་ལིང་
གི་ཧང་,གི་ཝང་
གུ་གུ་,གི་གུ་
གུ་དུང་,གུ་ཐུང་
གུ་ཡངས་པ་,གུ་ཡངས་པོ་
གུང་སང་,གུང་སེང་
གུང་གསེང་,གུང་སེང་
གུང་བསང་,གུང་སེང་
གུར་ཀུམ་,གུར་གུམ་
གུར་ཁང་,དབྱིབས་གུར་
གེག་པ་,གཉན་ནད་དུ་གོ་བའི་གག་པ་
གོ་གྲས་,གོ་གྲལ་
གོ་ཡོག་,གོ་གཡོག་
གོང་འཐུས་,རྫོང་གཞིས་གཞན་དག་གི་ཚོ་དཔོན་
གོད་ཁ་,གོད་ཀ་
གོན་པ་,གྱོན་པ་
གོའུཏམ་,གཽཏམ་
གོར་,གོར་ནད་
གོས་འདང་,གོས་ལྡེང་
གྭ་ཤྭ་,གྭ་ཞུར་
གྱ་གྱུར་འགྲོ་,གྱ་གྱུ་འགྲོས་
གྱ་ཙོམ་,གྱ་ཚོམ་
གྱིང་,གིང་
གྱིང་ཤང་ཀོང་ཇོ་,གྱིམ་ཤིང་ཀོང་ཇོ་
གྱིམ་ཤང་ཀོང་ཇོ་,གྱིམ་ཤིང་ཀོང་ཇོ་
གྱོང་བ་,གྱོང་པོ་
གྱོན་འདང་,གྱོན་ལྡེང་
གྱོན་ལྡང་,གྱོན་ལྡེང་
གྲལ་མ་,དྲལ་མ་
གྲུང་བ་,གྲུང་པོ་
གྲུས་མ་,དྲུས་མ་
གྲེ་བསལ་,གྲེ་གསང་
གྲོ་ཞིན་,གྲོ་བཞིན་
གྲོ་ཞུན་,གྲོ་བཞིན་
